#,Steps,Actions,Visuals
1,Review ticket in ServiceHub,"Open the supplier request, and take note of the high level reason for the cancellation. Common themes will include: Delivery Scheduling Contact Failures Refusal of Delivery at DOD Refusal/cancellation of delivery prior to DOD",
2,Cancel Impacted PO(s),"Cancel Impacted PO(s) utilizing the following WIMS Wizard Path Select Eligible Item If delivered status is indicated: Select No to ""Does the customer have the item?"" Select Customer Contact Reason: Notified of Delay/Issue Select Issue Diagnosis Reason as appropriate : Failed/no delivery attempt or Returned to Sender Click Continue Select Resolution: Cancel Item(s) Select Cancellation Reason: Other REQUIRED: Please leave a note on the order clarifying the reason for cancellation ( Visual 2 shows how this translates in the order notes). Click Toggle on Send Confirmation Email (do not send) Click Submit When the wizard wrap pops, click Do Not Wrap and Submit",Visual 2:
3,Send Template,"Respond to the supplier utilizing the Serta/Simmons Reports PO Undeliverable/RTS template, and close the ticket out under the Done status.",
