#,Steps,Actions,Visuals
1,Send Template,Review your comment to the Supplier advising them of the action taken. Ensure you make any necessary edits to the templates so these are tailored to the Supplier's specific query.,
2,Edit Comment (Optional),"If you need to make any edits to your comment after this is added, click the pencil icon. (Visual 1.2)",Visual 1.2:
3,Update Status,Select Change Status > Done. (Visual 1.3),Visual 1.3:
