#,Steps,Actions,Visuals
1,Send Template,"Respond to the supplier utilizing the Dispute Return template, then leave the ticket in Waiting for Support status.",
2,Transfer Ticket to Finance Operations (FINSAP),"In ServiceHub, select Transfer Select New Project: FINSAP Select New Issue Type: Partner Home External Request New Status (if asked): Waiting for Support Customer Request Type: Requests from Partner Home Select Move The ticket becomes a FINSAP-##### ticket, and you are done",
