Key Word,Definition
Wholesale Cost,"Wholesale cost is the price a business (like a retailer) pays to buy products in large quantities directly from a manufacturer or distributor, significantly lower than the retail price to allow for bulk discounts and profit when reselling to the public. It covers the base cost of goods (materials, labor, overhead) plus a profit margin, enabling the business to mark it up and sell for a higher price to consumers."
Payment Voucher Status,This status shows where a suppliers payment request is in the payment disbursement process.
