#,Steps,Actions,Visuals
1,Cancel the Replacement Part PO,Run Cancellation Wizard to submit cancellation request for Part PO,
2,Run WIMS Wizard to submit full unit replacement on the original PO,Run the WIMS wizard against an item on the original PO utilizing the following Wizard Path: Select Eligible Item Indicate if CT has received item: Select Yes or No as applicable Select Reason of Customer Contact: Notified of a delay/issue Select Issue Diagnosis: Damaged In Transit Continue Select Resolution: Replace the item with a brand-new one Confirm Shipping Address: Use same address as original shipment Continue Submit Resolution,
3,Send Template,Respond to the supplier utilizing the Replacement Part Fulfill with Full Unit template and close the ticket under a Done resolution.,
