#,Steps,Actions,Visuals
1,Check Shipping Address,Check Shipping Address,
2,Cancel PO,Enter the PO or OPID# into the Bulk Order Cancellation tool to cancel the replacement PO. Select Reason for Cancellation: OPS_ORDER_PROCESSING_ISSUE Note : Be sure to select email notifications for the supplier and customer so they are notified.,
3,Send Template,"Respond to the supplier utilizing the Shipping to Virgin Islands template, and close the ticket under a Done resolution.",
