#,Steps,Actions,Visuals
1,Send Template,Respond to the supplier utilizing the Adding/Altering Warehouse template Leave the ticket in Waiting for Support,
2,Transfer to GSCIEXE (Execute),"In ServiceHub, select Transfer Select New Project: GSCIEXE Select New Issue Type: Wayfair Internal Request New Status (if asked): Waiting for Support Customer Request Type: Warehouse Update Select Move",
