#,Steps,Actions,Visuals
1,Review the Supplier Transfer Enrollment List,"Reverse search for the SUID in the Supplier Transfer Enrollment List to verify if they are enrolled in the SCT program. If they are NOT enrolled, review the Supplier Needs Replacement PO - Non SCT Supplier tab.",
2,Send Template,Respond to the supplier utilizing the Supplier Warm/Cold Transfer Programs template and close the ticket under a Done resolution.,
