#,Steps,Actions,Visuals
1,Confirm Supplier's Return Setup,Open the Partner Home portal . Log in as the Supplier using the search bar in the red banner at the top of the page. (See Visual 1.1) Select the person icon in the top right-hand corner to open the dropdown menu. Click Returns Management. (See Visual 1.2) A new window will open showing the available options and which the Supplier has selected. (See Visual 1.3; See Tip 1) Tip 1: The Supplier also has the option here to change their selection or update their return address. (See Visual 1.3),Visual 1.1: Visual 1.2: Visual 1.3:
2,Update the Supplier,"If the Supplier is setup on WMR and received the return in error, update them using the WMR_Return_Received template. If they are set up on SMR, use the SMR template to advise them of their current setup and how to change this if incorrect. Move to the Resolve Ticket tab.",
