#,Steps,Actions,Visuals
1,Check tracking for PO/Item number indicated by supplier,Utilize FedEx website to verify tracking information shows no movement or returned to sender,
2,Issue Replacement via WIMS Wizard,Run the WIMS wizard against an item on the original PO utilizing the following Wizard Path: Select Eligible Item Indicate if CT has received item: No Select Reason of Customer Contact: Notified of a delay/issue Select Issue Diagnosis: Returned to Sender Continue Select Resolution: Replace the item with a brand-new one Confirm Shipping Address: Use same address as original shipment Continue Submit Resolution,
3,Send Template,Respond to the supplier utilizing the Ashley Reports an Item is Returned template and close the ticket under a Done resolution.,
