#,Steps,Actions,Visuals
1,Review Finance View in the Legacy Order View,"Search the order ID in the legacy order search tool. When the order is opened, click on the Finance View tab in the upper middle of the order view",
2,Review the item under Wayfair Costs,"Scroll down to the Wayfair Costs Section, and look for the PO and OPID of the item returned (you can use control F to reverse search this information as well). In the Description Column, the item should reflect ""Return""",
3,Identify Payment (PMT) Status,"When reviewing items in the finance view, review the column titled ""PMT Status"" - this section will indicate one of the following statuses: Paid: (Date) N/A Pending Voucher",Visual 3.1:
4,Identify Finance Partner Team Support based on Voucher Status,"Paid invoices indicate the item is post voucher, i.e. anything that reflects ""Paid:(Date)"" status, will be transferred to the Supplier Claims team (CR project in SupportHub) Unpaid/Pending invoices indicate the item is pre-voucher, i.e. anything that reflects ""N/A"" or ""Pending Voucher"" status, will be transferred to the Finance Operations team (FINSAP project in SupportHub) Please note: If you cannot find a Return line item related to the PO, this also goes to FINSAP",
