#,Steps,Actions,Visuals
1,Cancel the PO via Bulk Order Cancellation,Enter the PO or OPID# into the Bulk Order Cancellation tool to cancel the PO. Note : Be sure to select email notification for the supplier and customer so they are notified.,
2,Refresh Cancellation Details,Refresh the cancellation results to confirm the PO has been cancelled successfully.,
3,Send Template,"Respond to the supplier utilizing the Part#/Listing/Qty Incorrect template, and close the ticket under a Done resolution.",
