#,Steps,Actions,Visuals
1,Review Request,"If the supplier can fill as parts, follow the process for MOQ - Can Fill As Parts. If the supplier cannot fill as parts, steps 2-4 will apply.",
2,Cancel the PO via Bulk Order Cancellation,Enter the PO or OPID# into the Bulk Order Cancellation tool to cancel the PO. Note : Be sure to select email notification for the supplier and customer so they are notified.,
3,Refresh Cancellation Details,Refresh the cancellation results to confirm the PO has been cancelled successfully.,
4,Send Template,"Respond to the supplier utilizing the Replacement PO template, and close the ticket under a Done resolution.",
